"id","nama","jenis_kelamin","kelas","pernyataan_satu","pernyataan_dua","pernyataan_tiga","pernyataan_empat","pernyataan_lima","pernyataan_enam","pernyataan_tujuh","pernyataan_delapan","pernyataan_sembilan","pernyataan_sepuluh","pernyataan_sebelas","pernyataan_duabelas","pernyataan_tigabelas","pernyataan_empatbelas","pernyataan_limabelas"
"433","Miss Charity Hermann V","perempuan","10","SS","SS","SS","TS","STS","SS","SS","S","S","STS","SS","S","STS","SS","TS"
"434","Abbie Klocko Sr.","perempuan","12","S","STS","S","STS","TS","S","TS","SS","SS","STS","TS","TS","SS","S","SS"
"435","Narciso Rippin","laki-laki","11","SS","S","SS","STS","SS","TS","STS","STS","SS","TS","STS","SS","S","TS","TS"
"436","Dr. Helmer Lubowitz IV","perempuan","11","SS","S","STS","TS","STS","STS","SS","STS","TS","STS","TS","TS","STS","STS","SS"
"437","Scarlett Mitchell IV","laki-laki","11","TS","SS","S","TS","SS","STS","SS","SS","STS","STS","TS","TS","S","TS","TS"
"438","Macy Spinka","perempuan","12","STS","TS","STS","STS","SS","SS","SS","S","TS","STS","TS","TS","S","STS","STS"
"439","Mrs. Clarissa Schuster MD","perempuan","12","STS","TS","SS","STS","STS","SS","SS","SS","SS","S","TS","TS","STS","S","S"
"440","Lilly Farrell","perempuan","11","STS","TS","TS","SS","SS","S","STS","S","S","STS","SS","S","TS","S","SS"
"441","Ms. Marguerite Osinski","laki-laki","11","S","TS","STS","STS","TS","TS","S","SS","TS","STS","TS","STS","SS","S","S"
"442","Dr. Christophe Swift I","laki-laki","11","TS","SS","SS","TS","TS","TS","S","STS","S","SS","STS","TS","S","TS","STS"
"443","Forest Gulgowski","laki-laki","12","S","S","S","TS","S","STS","SS","STS","SS","TS","TS","STS","STS","SS","TS"
"444","Prof. Remington Hagenes","laki-laki","10","S","TS","STS","S","TS","SS","TS","STS","STS","S","SS","TS","S","STS","TS"
"445","Prof. Dominique Powlowski V","perempuan","10","S","S","SS","S","TS","SS","STS","S","S","TS","SS","TS","STS","TS","STS"
"446","Sonia Walter","perempuan","10","S","TS","S","TS","STS","S","TS","S","S","SS","SS","S","SS","STS","TS"
"447","Jazmin Simonis","laki-laki","11","SS","SS","STS","SS","TS","SS","STS","TS","TS","SS","TS","S","TS","TS","STS"
"448","Myra Casper Sr.","perempuan","10","TS","TS","S","S","S","TS","STS","SS","S","SS","SS","TS","TS","STS","STS"
"449","Miss Brandy Bartell MD","laki-laki","10","SS","TS","TS","TS","SS","STS","SS","S","SS","STS","STS","STS","STS","STS","S"
"450","Prof. Geo Schoen IV","perempuan","10","SS","TS","TS","STS","TS","STS","STS","TS","TS","SS","S","STS","SS","SS","STS"
"451","Mr. Mohammed Gulgowski PhD","perempuan","11","TS","TS","SS","S","SS","STS","S","STS","TS","SS","TS","STS","SS","TS","TS"
"452","Ms. Margaret Gusikowski","laki-laki","11","S","TS","TS","S","TS","STS","TS","STS","TS","TS","S","SS","S","S","S"
"453","Alvina Sanford","perempuan","11","S","STS","S","SS","SS","SS","SS","S","S","S","SS","S","TS","TS","TS"
"454","Miles Murazik","perempuan","11","TS","STS","SS","TS","SS","S","TS","STS","S","SS","SS","TS","STS","S","SS"
"455","Dr. Emilie Bergnaum III","perempuan","12","STS","STS","SS","TS","STS","TS","SS","STS","STS","TS","S","S","SS","STS","TS"
"456","Prof. Roma Welch I","laki-laki","10","TS","STS","STS","S","STS","TS","TS","S","S","STS","SS","S","TS","TS","S"
"457","Norris Schmeler","laki-laki","12","S","TS","TS","SS","SS","TS","STS","TS","S","TS","STS","S","TS","TS","STS"
"458","Judah Luettgen","perempuan","10","TS","S","STS","STS","STS","SS","TS","TS","SS","S","STS","TS","SS","SS","S"
"459","Eugene Gulgowski","laki-laki","11","S","SS","TS","STS","S","SS","SS","STS","STS","S","STS","TS","SS","SS","STS"
"460","Amie Mosciski I","laki-laki","11","TS","STS","STS","S","S","SS","SS","STS","STS","SS","TS","TS","TS","S","STS"
"461","Miss Dasia Predovic II","perempuan","10","TS","STS","TS","SS","TS","STS","STS","SS","S","S","STS","TS","STS","STS","SS"
"462","Prof. Lamont Huel V","perempuan","12","STS","TS","S","S","STS","SS","STS","TS","SS","STS","STS","TS","STS","S","STS"
"463","Patience Ruecker","laki-laki","11","S","TS","SS","S","STS","STS","S","SS","S","SS","S","SS","STS","SS","SS"
"464","Salvador Hermann","perempuan","12","SS","TS","STS","STS","SS","TS","S","S","S","SS","TS","S","STS","SS","SS"
"465","Ms. Ila Hintz","laki-laki","12","STS","S","SS","S","STS","STS","STS","STS","S","S","SS","STS","TS","S","SS"
"466","Gunner Kreiger","perempuan","10","SS","S","SS","STS","S","SS","STS","TS","STS","S","SS","SS","S","TS","TS"
"467","Aric Marvin","perempuan","11","STS","SS","SS","TS","TS","TS","STS","S","STS","STS","TS","TS","STS","TS","S"
"468","Helmer Lynch","perempuan","10","SS","S","STS","SS","S","S","SS","S","SS","S","S","STS","STS","TS","STS"
"469","Mr. Norris Bartell I","laki-laki","10","TS","S","SS","STS","TS","TS","STS","TS","TS","TS","S","SS","STS","TS","SS"
"470","Corine Rosenbaum","laki-laki","11","S","STS","STS","STS","TS","TS","SS","SS","SS","STS","SS","STS","TS","TS","TS"
"471","Dr. Ona Hammes","laki-laki","12","SS","TS","SS","TS","TS","SS","STS","STS","TS","STS","TS","SS","SS","TS","STS"
"472","Prof. Keegan Purdy","laki-laki","12","TS","SS","S","SS","STS","TS","SS","STS","STS","TS","TS","SS","S","S","S"
"473","Gordon Gottlieb","perempuan","11","S","TS","SS","STS","S","SS","S","S","SS","TS","SS","TS","TS","SS","S"
"474","Mr. Norris Goyette I","laki-laki","10","S","S","TS","S","TS","S","S","STS","S","TS","SS","SS","SS","STS","SS"
"475","Mrs. Raphaelle Jacobson","laki-laki","12","TS","STS","SS","TS","TS","TS","S","TS","S","TS","STS","SS","S","STS","S"
"476","Jett Koss","laki-laki","10","S","STS","S","S","TS","TS","TS","S","TS","STS","SS","S","SS","SS","SS"
"477","Dr. Alta Bergstrom","laki-laki","12","S","STS","SS","SS","TS","STS","TS","SS","STS","TS","S","SS","TS","S","STS"
"478","Mr. Robbie Schaefer I","laki-laki","12","STS","STS","STS","TS","STS","TS","SS","STS","STS","S","SS","SS","STS","TS","S"
"479","Corbin Kuphal","laki-laki","10","STS","S","TS","STS","STS","S","S","SS","SS","S","STS","TS","STS","SS","SS"
"480","Miss Marlene Osinski I","perempuan","11","STS","S","STS","SS","STS","S","SS","STS","SS","S","TS","S","TS","S","TS"
"481","Stanford Wiegand","laki-laki","10","TS","S","S","TS","SS","TS","SS","SS","SS","S","TS","SS","S","TS","S"
"482","Titus Moen","perempuan","12","TS","S","SS","TS","STS","S","TS","S","SS","S","S","TS","SS","STS","STS"
"483","Mr. Eloy Wisoky","perempuan","12","SS","TS","STS","STS","TS","STS","STS","TS","S","TS","STS","SS","STS","S","SS"
"484","Eugene Torp","laki-laki","11","TS","S","S","S","TS","S","TS","S","S","SS","S","STS","STS","S","S"
"485","Ludie Kohler","laki-laki","12","STS","TS","S","TS","S","SS","S","S","STS","SS","S","STS","TS","S","SS"
"486","Mrs. Aurore Bahringer II","perempuan","10","STS","STS","STS","STS","STS","SS","STS","STS","STS","SS","STS","STS","S","SS","TS"
"487","Luigi Bauch I","laki-laki","11","SS","STS","SS","STS","S","S","STS","SS","TS","TS","SS","STS","SS","STS","SS"
"488","Miss Kimberly Dickens","laki-laki","12","S","S","TS","TS","S","STS","STS","SS","S","STS","SS","SS","SS","SS","TS"
"489","Issac Jaskolski","perempuan","11","STS","TS","STS","TS","S","STS","TS","SS","TS","TS","TS","S","S","TS","STS"
"490","Maymie Farrell","laki-laki","12","STS","S","S","STS","TS","STS","SS","SS","STS","STS","S","STS","S","S","TS"
"491","Merlin Lang","perempuan","10","S","STS","TS","TS","STS","SS","STS","SS","TS","S","SS","STS","SS","SS","TS"
"492","Vilma Little","laki-laki","12","STS","STS","SS","SS","SS","SS","S","STS","TS","S","S","TS","S","TS","STS"
"493","Mia Maggio","laki-laki","10","STS","TS","TS","S","SS","STS","TS","SS","S","S","S","S","TS","S","S"
"494","Austyn Leannon","laki-laki","11","STS","TS","S","S","SS","TS","S","SS","S","SS","SS","S","S","TS","SS"
"495","Beaulah Flatley","laki-laki","10","TS","STS","STS","SS","TS","STS","STS","TS","S","SS","S","S","STS","SS","TS"
"496","Ruben Cummings","perempuan","11","STS","TS","STS","TS","TS","SS","SS","S","S","SS","SS","S","STS","STS","SS"
"497","Allie Rau","perempuan","10","STS","STS","TS","TS","TS","STS","SS","STS","STS","SS","S","S","S","STS","TS"
"498","Prof. Hester Towne","perempuan","12","STS","SS","STS","SS","TS","TS","SS","STS","STS","STS","TS","TS","STS","TS","SS"
"499","Mrs. Danielle Sipes Sr.","perempuan","10","STS","S","TS","SS","S","S","S","TS","S","TS","STS","S","TS","S","STS"
"500","Prof. Bryon Macejkovic","perempuan","11","STS","S","S","SS","SS","TS","TS","S","TS","S","S","TS","S","STS","S"
"501","Randi Olson","laki-laki","11","S","S","S","STS","S","S","SS","STS","TS","SS","S","TS","SS","SS","SS"
"502","Chauncey Koepp","perempuan","12","SS","STS","TS","SS","TS","SS","SS","STS","STS","STS","SS","TS","TS","TS","SS"
"503","Miss Prudence Gleichner DDS","laki-laki","10","S","SS","S","S","SS","S","STS","SS","SS","STS","STS","SS","S","TS","STS"
"504","Adela Carter","laki-laki","12","S","S","SS","S","S","SS","S","SS","TS","SS","TS","STS","STS","TS","SS"
"505","Prof. Claude Hoppe Jr.","perempuan","11","STS","STS","TS","S","STS","S","SS","TS","S","STS","STS","S","SS","SS","STS"
"506","Elza Carroll","laki-laki","12","STS","SS","SS","TS","STS","SS","S","STS","TS","SS","SS","TS","STS","STS","TS"
"507","Pearlie Davis","laki-laki","10","TS","STS","TS","STS","STS","STS","STS","SS","SS","SS","SS","SS","TS","TS","SS"
"508","Katlynn Hintz","perempuan","11","SS","SS","TS","STS","S","STS","SS","STS","S","TS","S","SS","TS","S","S"
"509","Lonie Boyer","laki-laki","11","TS","TS","SS","STS","S","TS","SS","SS","STS","STS","STS","S","SS","TS","S"
"510","Americo Kertzmann","laki-laki","12","S","SS","S","S","SS","STS","S","STS","S","TS","STS","TS","TS","TS","SS"
"511","Ali Borer","perempuan","11","TS","TS","S","S","SS","STS","TS","TS","STS","S","SS","S","SS","SS","TS"
"512","Jeremie Becker","perempuan","11","S","S","SS","S","S","SS","SS","TS","TS","STS","STS","S","STS","STS","STS"
"513","Katlyn Rodriguez","laki-laki","10","TS","SS","S","STS","STS","S","STS","TS","TS","STS","TS","S","S","STS","STS"
"514","Nona Langworth","perempuan","11","STS","S","S","TS","STS","TS","SS","SS","S","S","TS","SS","TS","STS","SS"
"515","Mariah Shields","laki-laki","10","TS","SS","TS","SS","S","S","STS","SS","STS","STS","STS","S","STS","SS","TS"
"516","Prof. Bradford Crona","laki-laki","10","S","SS","STS","STS","SS","SS","SS","TS","SS","TS","TS","TS","SS","STS","STS"
"517","Isabella Bayer PhD","laki-laki","11","S","STS","SS","TS","STS","S","S","SS","S","STS","SS","TS","SS","TS","STS"
"518","Delphia Ruecker","perempuan","12","S","SS","TS","STS","S","S","S","S","SS","TS","SS","TS","SS","TS","TS"
"519","Clementina Conn","laki-laki","11","SS","SS","S","TS","SS","TS","STS","TS","TS","STS","SS","STS","STS","S","TS"
"520","Prof. Sheridan Breitenberg II","perempuan","10","SS","STS","S","STS","S","STS","STS","SS","S","S","TS","SS","SS","STS","S"
"521","Branson Reilly","laki-laki","11","TS","S","SS","STS","S","TS","S","SS","SS","S","S","SS","SS","S","S"
"522","Prof. Tommie Ernser","laki-laki","10","STS","SS","STS","S","STS","SS","SS","S","STS","STS","S","S","STS","SS","STS"
"523","Dr. Linda Beahan","perempuan","11","TS","STS","S","TS","TS","SS","TS","S","S","SS","S","STS","SS","STS","STS"
"524","Ernest Lockman","laki-laki","12","TS","TS","TS","TS","SS","TS","TS","STS","S","S","TS","S","SS","SS","SS"
"525","Miss Audrey Maggio III","perempuan","12","SS","TS","STS","S","S","SS","STS","S","TS","SS","SS","STS","SS","TS","S"
"526","Zack Kuhn","laki-laki","12","STS","SS","S","SS","SS","S","TS","STS","TS","STS","SS","TS","TS","S","TS"
"527","Filiberto Sanford","laki-laki","11","S","STS","TS","TS","STS","TS","TS","S","STS","STS","TS","STS","STS","TS","SS"
"528","Cordie Durgan","laki-laki","10","S","SS","S","S","SS","S","S","TS","SS","S","STS","SS","TS","STS","TS"
"529","Dr. Emil Yost IV","perempuan","12","TS","S","STS","TS","TS","S","STS","S","SS","TS","SS","SS","S","TS","TS"
"530","Mrs. Abby Feeney","perempuan","11","TS","SS","SS","SS","STS","SS","STS","TS","S","S","TS","STS","SS","TS","STS"
"531","Jared Wehner","laki-laki","11","S","STS","S","SS","S","S","SS","TS","TS","S","TS","TS","TS","S","TS"
"532","Nasir Dibbert PhD","laki-laki","11","SS","S","TS","S","TS","TS","STS","STS","SS","S","STS","STS","S","SS","TS"
"533","Deontae Schmeler","perempuan","12","SS","SS","SS","TS","S","S","SS","TS","SS","STS","STS","STS","TS","TS","S"
"534","Kareem Donnelly","perempuan","12","TS","S","S","TS","STS","STS","SS","S","SS","STS","S","STS","SS","S","TS"
"535","Earline Fahey PhD","laki-laki","11","STS","SS","SS","S","TS","SS","SS","S","STS","STS","SS","STS","S","S","TS"
"536","Malcolm Rutherford","perempuan","11","TS","S","TS","SS","SS","S","STS","TS","SS","TS","S","SS","TS","S","SS"
"537","Elwin Ernser PhD","perempuan","10","SS","S","STS","S","SS","SS","S","SS","SS","STS","TS","SS","S","TS","SS"
"538","Franz Koelpin","perempuan","10","S","TS","SS","STS","S","STS","TS","SS","STS","S","STS","STS","TS","SS","TS"
"539","Rebeca Schroeder DVM","perempuan","11","S","STS","SS","TS","STS","TS","STS","S","S","SS","S","SS","S","SS","TS"
"540","Miss Florence Bradtke Jr.","laki-laki","12","S","TS","TS","S","SS","S","SS","SS","STS","S","S","TS","STS","TS","SS"
"541","Isadore Hoeger IV","perempuan","12","SS","S","STS","TS","SS","SS","S","S","SS","S","TS","SS","STS","S","STS"
"542","Dr. Arne Hermann DVM","perempuan","12","STS","TS","SS","TS","S","S","S","STS","S","SS","STS","TS","S","SS","TS"
"543","Marjorie Pacocha","perempuan","10","SS","TS","STS","S","SS","STS","SS","SS","STS","TS","TS","STS","SS","TS","STS"
"544","Terry Bogan","perempuan","10","TS","STS","TS","SS","SS","SS","TS","S","TS","S","S","SS","TS","STS","STS"
"545","Carmel Lehner","perempuan","11","SS","SS","S","SS","SS","SS","S","TS","SS","TS","SS","TS","TS","STS","SS"
"546","Emerald Corwin","perempuan","11","TS","TS","TS","SS","S","SS","S","TS","TS","STS","SS","S","STS","TS","TS"
"547","Prof. Elliott Williamson","laki-laki","10","TS","S","TS","TS","SS","STS","STS","SS","STS","TS","STS","SS","STS","STS","S"
"548","Bryon Parker PhD","laki-laki","11","S","STS","SS","STS","STS","S","TS","TS","STS","S","STS","SS","TS","S","STS"
"549","Chase Gaylord","laki-laki","10","SS","SS","S","TS","STS","STS","STS","SS","STS","SS","SS","TS","SS","SS","S"
"550","Francesca Reichel I","laki-laki","11","SS","S","SS","SS","STS","S","SS","STS","S","TS","S","SS","TS","TS","S"
"551","Mr. Ken Abshire Jr.","perempuan","10","S","S","SS","SS","S","STS","S","TS","SS","TS","STS","SS","STS","STS","SS"
"552","Cierra Crona","perempuan","12","TS","TS","TS","S","TS","STS","STS","TS","STS","TS","STS","SS","S","TS","TS"
"553","Prof. Chaz Skiles","laki-laki","11","STS","SS","STS","STS","S","SS","SS","TS","S","TS","STS","S","TS","STS","SS"
"554","Madaline Lakin IV","perempuan","12","SS","SS","TS","TS","STS","TS","SS","S","SS","TS","SS","TS","TS","SS","TS"
"555","Reba Conn","laki-laki","12","STS","STS","TS","SS","STS","TS","TS","S","S","STS","S","SS","TS","S","TS"
"556","Dr. Vincenzo Reichert II","laki-laki","12","TS","STS","SS","TS","S","TS","TS","STS","STS","S","TS","STS","SS","SS","STS"
"557","Ms. Emmy Shields IV","laki-laki","10","S","SS","S","STS","S","SS","SS","S","TS","STS","SS","TS","STS","STS","S"
"558","Scottie Mante","perempuan","12","SS","TS","S","TS","TS","STS","S","STS","S","S","STS","TS","TS","TS","SS"
"559","Adam Zieme","perempuan","12","TS","STS","S","SS","SS","SS","S","STS","TS","SS","SS","SS","S","TS","SS"
"560","Ms. Juliana O'Kon","perempuan","10","STS","SS","STS","SS","TS","TS","SS","STS","STS","SS","TS","TS","S","TS","STS"
"561","Douglas Cassin","perempuan","10","TS","SS","TS","TS","TS","TS","TS","TS","SS","S","S","STS","STS","STS","SS"
"562","Donavon Reichel","laki-laki","11","S","SS","STS","TS","TS","TS","TS","TS","S","STS","S","STS","TS","STS","SS"
"563","Dr. Yvonne Dare V","laki-laki","10","S","SS","SS","TS","STS","S","SS","S","STS","STS","STS","TS","STS","SS","TS"
"564","Myles Rodriguez","perempuan","11","TS","STS","TS","SS","TS","SS","S","S","S","TS","STS","STS","STS","S","S"
"565","Prof. Trevor Monahan","laki-laki","12","SS","SS","TS","TS","SS","STS","S","S","S","S","SS","TS","SS","SS","STS"
"566","Filomena Schaden II","laki-laki","10","TS","S","SS","SS","SS","S","S","STS","STS","S","STS","SS","S","S","STS"
"567","Mrs. Sabryna Labadie PhD","perempuan","11","STS","SS","S","SS","SS","TS","S","S","TS","S","SS","SS","STS","SS","S"
"568","Prof. Erich Schowalter IV","laki-laki","10","S","STS","S","S","TS","TS","STS","TS","SS","SS","SS","S","TS","STS","SS"
"569","Alta Kuhn","laki-laki","10","SS","S","STS","S","TS","TS","SS","STS","TS","S","TS","STS","STS","S","TS"
"570","Prof. Jesse Reinger","laki-laki","11","SS","STS","TS","STS","S","SS","TS","S","SS","TS","TS","TS","SS","SS","STS"
"571","Hollis Beier","perempuan","10","SS","SS","SS","TS","TS","TS","S","TS","STS","S","S","STS","S","SS","SS"
"572","Miss Rosetta Haley PhD","laki-laki","12","STS","S","STS","TS","STS","S","TS","TS","STS","S","S","STS","S","STS","TS"
"573","Cristobal Walter DVM","perempuan","12","S","S","S","TS","S","SS","STS","SS","TS","S","TS","TS","SS","S","STS"
"574","Eliane Mertz","laki-laki","11","STS","TS","S","TS","SS","TS","SS","TS","S","STS","SS","S","STS","TS","TS"
"575","Isom Batz","laki-laki","11","S","TS","STS","STS","STS","S","STS","SS","S","SS","SS","STS","SS","S","TS"
"576","Felicita Wehner","perempuan","11","TS","SS","SS","SS","SS","SS","SS","S","TS","S","STS","TS","STS","TS","TS"
"577","Miss Lura Parker","laki-laki","11","TS","S","S","S","SS","S","S","STS","SS","SS","TS","SS","TS","SS","S"
"578","Keeley McKenzie","perempuan","10","TS","SS","TS","TS","SS","TS","STS","SS","S","S","S","S","S","S","STS"
"579","Ms. Anika Breitenberg","laki-laki","12","SS","STS","TS","S","TS","S","SS","STS","SS","SS","TS","STS","SS","STS","TS"
"580","Moriah Jaskolski","perempuan","12","STS","TS","SS","TS","TS","STS","S","TS","TS","TS","TS","TS","SS","SS","TS"
"581","Mr. Lemuel Harris V","perempuan","10","TS","TS","STS","STS","TS","S","S","STS","TS","SS","SS","TS","S","TS","SS"
"582","Catalina Feest","perempuan","12","STS","S","STS","S","SS","SS","STS","STS","SS","SS","S","STS","S","SS","S"
"583","Dr. Keven Turner Jr.","perempuan","10","S","TS","S","SS","TS","TS","TS","SS","S","STS","S","S","S","STS","S"
"584","Nickolas Harvey","perempuan","10","SS","S","SS","S","TS","S","S","S","S","S","TS","TS","TS","STS","S"
"585","Kirsten Marquardt","perempuan","10","SS","S","STS","TS","SS","S","S","STS","STS","S","S","SS","TS","SS","S"
"586","Ted Brown III","laki-laki","12","TS","STS","STS","SS","S","TS","TS","TS","SS","SS","SS","STS","SS","S","SS"
"587","Miss Ivy Roob PhD","perempuan","11","TS","S","STS","SS","STS","TS","S","S","SS","STS","SS","STS","STS","STS","S"
"588","Kristy Wolff","perempuan","10","TS","S","TS","S","TS","SS","TS","TS","S","SS","TS","SS","S","S","STS"
"589","Queen Nicolas","perempuan","10","SS","SS","STS","STS","STS","TS","SS","SS","SS","SS","TS","TS","SS","SS","STS"
"590","Cortez Armstrong","laki-laki","12","TS","TS","TS","S","STS","TS","S","TS","S","SS","STS","TS","SS","TS","SS"
"591","Joanie Johnson","laki-laki","11","STS","STS","TS","STS","S","SS","STS","S","SS","TS","TS","SS","S","TS","S"
"592","Dessie Howell II","perempuan","10","TS","TS","STS","SS","STS","TS","S","SS","SS","TS","TS","SS","SS","SS","STS"
"593","Robyn Conroy","perempuan","12","TS","SS","STS","SS","TS","TS","STS","STS","S","SS","TS","STS","SS","TS","STS"
"594","Filomena Ziemann","laki-laki","11","SS","TS","TS","SS","TS","STS","SS","SS","S","SS","SS","TS","SS","TS","STS"
"595","Ms. Hailie Kuhic","perempuan","11","STS","S","S","S","S","STS","S","STS","STS","TS","SS","TS","TS","TS","S"
"596","Prof. Savanah Carter","laki-laki","11","SS","SS","TS","S","SS","SS","S","SS","STS","STS","STS","STS","S","S","STS"
"597","Prof. Kianna Becker DDS","laki-laki","12","TS","TS","SS","S","S","TS","TS","TS","SS","S","TS","STS","S","TS","SS"
"598","Prof. Kelvin Cormier","perempuan","11","SS","SS","TS","STS","STS","STS","STS","SS","SS","SS","S","S","SS","S","TS"
"599","Cassandre Watsica","perempuan","11","TS","STS","S","S","S","SS","SS","SS","TS","S","S","SS","SS","S","S"
"600","Micah Wolf","laki-laki","11","S","S","TS","TS","TS","TS","SS","SS","S","S","S","SS","TS","TS","S"
"601","Larissa Cummings","perempuan","12","STS","SS","STS","TS","STS","TS","STS","SS","SS","STS","SS","S","STS","TS","STS"
"602","Tia Stamm DVM","laki-laki","10","TS","TS","SS","STS","S","TS","SS","SS","STS","STS","STS","STS","S","STS","STS"
"603","Miss Esta Bashirian","laki-laki","11","S","STS","S","S","TS","TS","S","S","SS","SS","TS","STS","S","TS","STS"
"604","Amya Shanahan","perempuan","11","S","TS","TS","S","STS","STS","TS","STS","TS","TS","SS","TS","S","S","SS"
"605","Eloisa Lakin","laki-laki","11","TS","SS","SS","TS","STS","S","STS","SS","STS","S","STS","SS","TS","STS","TS"
"606","Mazie White","perempuan","10","SS","TS","TS","STS","STS","SS","TS","S","STS","STS","TS","SS","TS","TS","STS"
"607","Dr. Elias Dooley DVM","perempuan","11","TS","S","STS","S","TS","S","S","S","SS","STS","STS","S","S","SS","S"
"608","Daphnee Ledner","laki-laki","12","STS","STS","STS","STS","TS","S","TS","TS","STS","STS","SS","TS","TS","S","SS"
"609","Prof. Harold Fisher","laki-laki","12","SS","SS","STS","STS","STS","SS","S","S","SS","S","TS","STS","STS","TS","STS"
"610","Rory Homenick V","perempuan","11","STS","STS","S","S","S","S","TS","SS","STS","TS","SS","TS","SS","SS","SS"
"611","Dagmar Lesch","laki-laki","10","TS","TS","S","S","S","S","TS","S","SS","S","TS","TS","S","TS","S"
"612","Javier Haag","laki-laki","11","S","TS","TS","TS","STS","SS","S","STS","TS","STS","TS","S","STS","SS","SS"
"613","Flo Fisher","perempuan","10","S","SS","STS","S","STS","SS","S","TS","S","SS","TS","S","S","STS","S"
"614","Prof. Jerrold Klein III","laki-laki","11","SS","SS","SS","TS","STS","STS","SS","TS","S","STS","SS","STS","SS","TS","SS"
"615","Osbaldo Towne","perempuan","12","SS","S","SS","TS","STS","STS","TS","SS","TS","SS","STS","STS","SS","STS","TS"
"616","Dr. Rupert Bashirian Jr.","perempuan","10","TS","SS","S","STS","S","SS","STS","TS","S","TS","SS","SS","TS","TS","S"
"617","Lupe Emard Jr.","laki-laki","10","SS","STS","SS","TS","SS","STS","SS","TS","SS","S","SS","TS","TS","S","SS"
"618","Ludie Herzog II","laki-laki","10","STS","STS","TS","TS","SS","S","STS","STS","S","SS","SS","S","TS","SS","SS"
"619","Carmelo Bernier IV","perempuan","12","TS","S","STS","TS","TS","STS","S","SS","S","STS","TS","TS","TS","STS","SS"
"620","Mr. Brent Walker","laki-laki","11","TS","TS","SS","TS","SS","TS","TS","TS","STS","STS","TS","STS","SS","S","TS"
"621","Mr. Aaron Skiles","perempuan","12","SS","TS","S","SS","TS","S","SS","TS","S","SS","STS","SS","SS","S","STS"
"622","Trycia Lebsack Sr.","laki-laki","10","STS","TS","TS","TS","S","S","S","STS","SS","S","SS","SS","TS","TS","SS"
"623","Kailyn Upton","laki-laki","12","TS","S","S","STS","STS","S","SS","TS","S","TS","TS","S","SS","S","STS"
"624","Patsy Parker","laki-laki","10","S","STS","SS","TS","S","S","S","TS","SS","TS","S","S","STS","S","S"
"625","Brionna Hahn","laki-laki","12","STS","STS","S","SS","SS","STS","TS","TS","STS","TS","S","SS","S","SS","SS"
"626","Prof. Luz Willms II","perempuan","10","S","STS","SS","S","S","STS","STS","SS","SS","TS","STS","STS","STS","TS","SS"
"627","Alba VonRueden","laki-laki","11","SS","S","S","TS","TS","S","STS","S","TS","TS","STS","S","TS","STS","STS"
"628","Kasandra Hamill","perempuan","10","STS","STS","SS","SS","S","SS","SS","STS","TS","TS","SS","SS","SS","TS","S"
"629","Dereck Christiansen","perempuan","11","TS","SS","TS","STS","STS","SS","SS","SS","S","TS","SS","STS","SS","STS","TS"
"630","Calista Harris","perempuan","11","STS","S","STS","STS","STS","S","STS","TS","STS","S","TS","STS","S","STS","SS"
"631","Dr. Kraig Johnson","perempuan","11","TS","TS","STS","TS","S","TS","S","S","STS","TS","S","SS","TS","SS","STS"
"632","Ronaldo Jaskolski","laki-laki","11","S","TS","SS","TS","SS","TS","STS","S","STS","SS","STS","TS","S","TS","SS"
"633","Mrs. Santina Hahn III","laki-laki","10","SS","S","TS","TS","STS","S","SS","STS","S","TS","STS","SS","SS","S","TS"
"634","Tyrique Adams","laki-laki","10","SS","S","S","TS","S","TS","S","S","S","STS","STS","S","STS","SS","TS"
"635","Icie Oberbrunner","laki-laki","11","S","SS","TS","STS","STS","TS","STS","S","TS","SS","SS","S","SS","STS","STS"
"636","Miss Alverta Graham","laki-laki","12","SS","SS","TS","STS","SS","SS","TS","STS","S","TS","S","TS","SS","TS","TS"
"637","Kaleb Dicki","perempuan","11","TS","TS","STS","SS","SS","S","S","TS","TS","SS","STS","SS","STS","TS","STS"
"638","Janessa Hammes V","laki-laki","12","TS","S","STS","TS","S","STS","SS","SS","SS","STS","S","S","TS","SS","S"
"639","Miss Aida Kunde I","perempuan","11","S","S","S","TS","SS","S","STS","TS","SS","STS","STS","SS","SS","STS","TS"
"640","Shayne Fritsch","perempuan","10","TS","SS","S","STS","SS","S","SS","S","SS","STS","STS","TS","S","SS","STS"
"641","Tyra Berge","perempuan","11","TS","TS","TS","SS","TS","SS","SS","STS","S","TS","SS","TS","TS","SS","TS"
"642","Name Runolfsdottir","laki-laki","10","TS","TS","TS","STS","TS","STS","STS","TS","TS","S","S","TS","STS","S","STS"
"643","Mathilde Durgan V","laki-laki","11","TS","STS","S","TS","TS","SS","SS","S","TS","STS","S","S","SS","S","TS"
"644","Kaylee Bosco","perempuan","12","TS","TS","S","TS","SS","S","STS","SS","S","STS","STS","S","TS","STS","STS"
"645","Miss Tressa Corkery Sr.","laki-laki","10","TS","S","TS","STS","STS","TS","TS","S","TS","S","SS","SS","TS","S","S"
"646","Dr. Marcella Schimmel PhD","perempuan","12","TS","S","TS","SS","S","S","TS","S","STS","S","TS","S","STS","STS","S"
"647","Irma Parker","perempuan","11","SS","TS","STS","TS","SS","S","TS","SS","SS","TS","TS","STS","TS","STS","SS"
"648","Ms. Graciela Roberts Sr.","laki-laki","12","TS","STS","SS","STS","TS","TS","STS","STS","SS","STS","S","TS","SS","STS","TS"
